Price,Close,High,Low,Open,Volume
Ticker,^STI,^STI,^STI,^STI,^STI
Date,,,,,
2021-03-31,3165.340087890625,3200.489990234375,3165.340087890625,3200.35009765625,257104800
2021-04-01,3181.679931640625,3188.449951171875,3170.219970703125,3187.169921875,187913300
2021-04-05,3209.739990234375,3212.489990234375,3203.64990234375,3205.909912109375,206109200
2021-04-06,3207.6298828125,3221.10009765625,3194.8798828125,3219.679931640625,237625300
2021-04-07,3195.760009765625,3221.85009765625,3191.43994140625,3215.219970703125,259398300
2021-04-08,3186.39990234375,3201.830078125,3184.5400390625,3198.820068359375,200493600
2021-04-09,3184.5400390625,3190.830078125,3177.469970703125,3189.800048828125,177550000
2021-04-12,3173.929931640625,3182.300048828125,3160.760009765625,3175.72998046875,237001600
2021-04-13,3187.89990234375,3192.610107421875,3174.31005859375,3176.489990234375,222916100
2021-04-14,3179.389892578125,3189.449951171875,3174.60009765625,3188.409912109375,170182000
2021-04-15,3184.77001953125,3189.7099609375,3176.080078125,3189.159912109375,219873700
2021-04-16,3201.760009765625,3203.56005859375,3184.31005859375,3184.64990234375,295252800
2021-04-19,3209.719970703125,3214.929931640625,3200.719970703125,3204.139892578125,453912800
2021-04-20,3192.169921875,3211.0,3187.39990234375,3207.989990234375,320102600
2021-04-21,3155.06005859375,3172.8701171875,3145.280029296875,3163.47998046875,295932400
2021-04-22,3187.780029296875,3188.7099609375,3170.409912109375,3171.780029296875,219207200
2021-04-23,3194.0400390625,3194.0400390625,3167.0,3172.679931640625,203215800
2021-04-26,3204.89990234375,3211.5400390625,3183.3701171875,3187.719970703125,241691100
2021-04-27,3214.429931640625,3219.97998046875,3200.6201171875,3203.659912109375,217519600
2021-04-28,3219.56005859375,3220.27001953125,3205.5,3206.610107421875,199817500
2021-04-29,3221.580078125,3235.719970703125,3218.070068359375,3226.919921875,189522200
2021-04-30,3218.27001953125,3237.22998046875,3217.219970703125,3218.89990234375,304074700
2021-05-03,3184.760009765625,3221.93994140625,3165.77001953125,3221.7900390625,295952700
2021-05-04,3179.1298828125,3186.0,3168.56005859375,3183.080078125,187176600
2021-05-05,3153.590087890625,3160.300048828125,3140.489990234375,3157.199951171875,300248700
2021-05-06,3173.0,3178.239990234375,3157.8798828125,3160.010009765625,337249500
2021-05-07,3200.260009765625,3204.39990234375,3173.2099609375,3177.989990234375,232678000
2021-05-10,3182.409912109375,3206.239990234375,3177.60009765625,3203.85009765625,221621900
2021-05-11,3144.27001953125,3166.590087890625,3137.4599609375,3158.330078125,349508800
2021-05-12,3123.260009765625,3142.60009765625,3115.75,3126.5,298376800
2021-05-14,3055.02001953125,3121.260009765625,3023.949951171875,3105.739990234375,663344700
2021-05-17,3079.68994140625,3087.199951171875,3027.3798828125,3047.8798828125,339127000
2021-05-18,3142.6298828125,3145.320068359375,3099.199951171875,3100.89990234375,384164100
2021-05-19,3104.2099609375,3133.1201171875,3100.949951171875,3124.949951171875,254244900
2021-05-20,3109.81005859375,3128.77001953125,3102.75,3114.419921875,277513200
2021-05-21,3117.889892578125,3130.449951171875,3104.570068359375,3126.75,247522600
2021-05-24,3123.610107421875,3137.97998046875,3121.840087890625,3132.2099609375,189484200
2021-05-25,3146.090087890625,3149.389892578125,3132.219970703125,3132.27001953125,291518000
2021-05-27,3164.820068359375,3171.719970703125,3135.3701171875,3139.929931640625,603734000
2021-05-28,3178.550048828125,3194.18994140625,3177.60009765625,3183.570068359375,329026300
2021-05-31,3164.280029296875,3193.610107421875,3157.39990234375,3184.530029296875,273029100
2021-06-01,3187.22998046875,3188.0,3162.64990234375,3176.7099609375,240434500
2021-06-02,3161.0400390625,3186.97998046875,3153.830078125,3183.340087890625,314836700
2021-06-03,3165.0,3177.10009765625,3159.60009765625,3168.800048828125,231298000
2021-06-04,3151.0400390625,3171.449951171875,3145.7900390625,3154.25,222890400
